NAME,name_simp,state_abbrev,state,region,latitude,longitude,pct_pop_change,pop_change,population,median_age_male,median_age_female,median_income,median_value,pct_white,pct_black,pct_foreign_born,pct_married_hh,per_capita_for_sale,pct_only_english,vehicles_per_hh,pct_poverty,pct_bachelors
"Colorado Springs, CO Metro Area",Colorado Springs,CO,Colorado,West,38.83388,-104.82136,0.08296652420028007,54567,684106.1666666666,32.75,35.916666666666664,30282.666666666668,228483.33333333334,0.807200003313326,0.05860883678629803,0.06917688458199836,0.9245844554720155,0.0039966993427189785,0.8240373022023629,1.0571426708313498,0.11187420471042872,0.1412107818547657
"Akron, OH Metro Area",Akron,OH,Ohio,Midwest,41.08144,-81.51901,-7.44703033707387e-4,-525,703793.3333333334,38.71666666666667,41.31666666666667,26985.833333333332,139783.33333333334,0.8238301490020744,0.11974088037207892,0.04500397844064072,0.911925089183045,0.004782653998806468,0.8918524851045287,1.0490690554684718,0.14136086351106858,0.12930737242940635
"Boise City, ID Metro Area",Boise,ID,Idaho,West,43.6135,-116.20345,0.10332196016954812,64986,659160.3333333334,34.61666666666667,36.11666666666667,26319.333333333332,180333.33333333334,0.9058891084162123,0.008838264438444666,0.06633287500613154,0.928125938448876,0.004421028571197396,0.8236122116976092,1.0355366259217653,0.14270048612350764,0.13254059078190888
"Lakeland-Winter Haven, FL Metro Area",Lakeland,FL,Florida,South,28.03947,-81.9498,0.09565210267165879,58376,635485.3333333334,39.15,41.483333333333334,23624.5,115450,0.7849903171119605,0.15027333439638785,0.10010223157523698,0.9194845653422486,0.008364735404331388,0.7515549795012316,0.9615420429513982,0.17338218138787362,0.08814417956669338
"Winston-Salem, NC Metro Area",Winston-Salem,NC,North Carolina,South,36.09986,-80.24422,0.02723787349631354,17548,653084.5,38.833333333333336,41.333333333333336,25585.333333333332,144000,0.7620769849332922,0.17664380847093036,0.06841432208746852,0.9164495270405701,0.006437655974584197,0.8360809359278929,0.9736319559065308,0.17139997453111608,0.11597299685824217
"Syracuse, NY Metro Area",Syracuse,NY,New York,Northeast,43.04812,-76.14742,-0.010777561880701924,-7133,660101.1666666666,37.7,40.43333333333333,28310.166666666668,127883.33333333333,0.8475284217797929,0.08258456342676766,0.05857915213501365,0.9094137103573513,0.004911873356785968,0.86284930567461,0.9842758933782995,0.14544992724600045,0.11454229111850785
"Ogden-Clearfield, UT Metro Area",Ogden,UT,Utah,West,41.223,-111.97383,0.07783074558006899,47135,628544,30.333333333333332,31.71666666666667,28992.166666666668,209733.33333333334,0.8969411847062417,0.011287462240776567,0.054628633794929236,0.9413214490980994,0.0033564343413773207,0.8154181197603775,1.21281610027198,0.09169975901978754,0.1199388321793436
"Madison, WI Metro Area",Madison,WI,Wisconsin,Midwest,43.0731,-89.4012,0.05417096213635083,33262,630604.5,34.9,37.01666666666667,32675.333333333332,224566.66666666666,0.8662220139564497,0.04342077059921604,0.07098611993201233,0.9147064358901154,0.0036599802253234792,0.842898097513312,1.0363852034316894,0.11658971669247524,0.17390297722264905
"Wichita, KS Metro Area",Wichita,KS,Kansas,Midwest,37.69224,-97.33754,0.016974187229471423,10745,639101.3333333334,34.48333333333333,36.699999999999996,28105.5,126350,0.8216185331069042,0.07549402702962076,0.07284264780128764,0.915862290642247,0.00536143459774767,0.8160607290236707,1.0935467545701372,0.13840971489132656,0.12497418249792415
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",Deltona,FL,Florida,South,28.90054,-81.26367,0.06941737186409667,41204,611344.3333333334,45.11666666666667,48.43333333333334,23715,150283.33333333334,0.825316120266102,0.10567421633089481,0.0821190240306472,0.9183948423700735,0.008918868962554108,0.824220720128809,0.8414226296813703,0.15925722165304548,0.10644028760660249
